Type,ID,Title,Description,Status,Team,Priority,Progress,StoryPoints,CurrentSprint,StartDate,EndDate,Goals,AssignedTo,CreatedBy,CreatedDate,AreaPath,WorkItemType,Epic,Tags
Epic,EPIC-001,Customer Portal Redesign,Complete redesign of customer-facing portal with modern UI/UX,Active,Frontend Team,High,65,89,Sprint 12,2024-11-01,2024-12-31,Complete customer portal MVP,John Smith,Sarah Johnson,2024-10-15,Customer Experience\Portal,Epic,EPIC-001,portal;ux;customer;redesign
Backlog,STORY-001,User Authentication,Implement secure user authentication system with OAuth 2.0,Ready,Backend Team,High,0,8,Sprint Planning,2024-12-20,2024-12-27,Implement OAuth authentication,Mike Davis,Product Owner,2024-11-10,Customer Experience\Authentication,User Story,EPIC-001,authentication;oauth;security
Backlog,STORY-002,Dashboard Widgets,Create customizable dashboard widgets for user portal,In Progress,Frontend Team,Medium,40,5,Sprint 12,2024-12-16,2024-12-20,Dashboard customization,John Smith,Product Owner,2024-11-05,Customer Experience\Dashboard,User Story,EPIC-001,dashboard;widgets;customization
Backlog,STORY-003,Push Notifications,Implement push notification system for mobile apps,Ready,Mobile Team,High,0,13,Sprint Planning,2024-12-30,2025-01-10,Mobile notifications,Lisa Chen,Product Owner,2024-11-15,Mobile\Notifications,User Story,EPIC-003,notifications;push;mobile
Backlog,STORY-004,API Rate Limiting,Implement rate limiting for API endpoints,Ready,Backend Team,High,0,5,Sprint Planning,2024-12-25,2024-12-30,API protection,Mike Davis,Architect,2024-11-20,Platform\API,User Story,EPIC-002,api;security;rate-limiting
Backlog,STORY-005,Database Optimization,Optimize database queries and indexing,In Progress,Backend Team,Medium,65,12,Sprint 12,2024-12-10,2024-12-25,Performance improvement,Backend Lead,Architect,2024-11-01,Platform\Performance,User Story,EPIC-007,performance;database;optimization
Backlog,STORY-006,Error Monitoring,Implement comprehensive error monitoring system,Ready,DevOps Team,High,0,8,Sprint Planning,2024-12-28,2025-01-05,Error tracking,DevOps Engineer,DevOps Lead,2024-11-25,Platform\Monitoring,User Story,EPIC-005,monitoring;errors;devops
Backlog,STORY-007,User Onboarding,Design and implement user onboarding flow,In Progress,UX Team,Medium,35,18,Sprint 13,2024-12-15,2025-01-15,User experience,UX Designer,Product Owner,2024-10-20,Customer Experience\Onboarding,User Story,EPIC-008,ux;onboarding;user-experience
Backlog,STORY-008,Data Export,Implement data export functionality for reports,Ready,Data Team,Medium,0,10,Sprint Planning,2025-01-05,2025-01-15,Data functionality,Data Engineer,Product Owner,2024-11-30,Platform\Analytics,User Story,EPIC-004,data;export;reports
Backlog,STORY-009,Security Scanning,Implement automated security vulnerability scanning,Ready,Security Team,High,0,15,Sprint Planning,2024-12-22,2025-01-08,Security automation,Security Engineer,Security Lead,2024-11-18,Security\Automation,User Story,EPIC-006,security;scanning;automation
Backlog,STORY-010,Mobile Testing,Implement comprehensive mobile app testing,In Progress,QA Team,Medium,45,20,Sprint 12,2024-12-01,2024-12-20,Quality assurance,QA Engineer,QA Lead,2024-10-25,Mobile\Testing,User Story,EPIC-003,testing;mobile;quality
Sprint,Sprint 12,Current active sprint focusing on customer portal development,Active sprint with frontend and backend coordination,Active,Multiple Teams,High,75,98,Sprint 12,2024-12-16,2024-12-29,Complete customer portal MVP,Scrum Master,Scrum Master,2024-12-02,Organization\Sprints,Sprint,Sprint-001,sprint;active;portal
Sprint,Sprint 13,Upcoming sprint for API gateway and mobile features,Planning phase for next sprint,Planning,Multiple Teams,High,0,135,Sprint Planning,2024-12-30,2025-01-12,API gateway foundation,Scrum Master,Scrum Master,2024-12-16,Organization\Sprints,Sprint,Sprint-002,sprint;planning;api
Sprint,Sprint 14,Data platform and analytics sprint,Data engineering and analytics development,Planning,Data Team,Medium,0,89,Sprint Planning,2025-01-13,2025-01-26,Data platform foundation,Scrum Master,Scrum Master,2024-12-23,Organization\Sprints,Sprint,Sprint-003,sprint;planning;data
Sprint,Sprint 15,Cloud migration and infrastructure sprint,Infrastructure and cloud migration work,Planning,DevOps Team,High,0,156,Sprint Planning,2025-01-27,2025-02-09,Cloud migration,Scrum Master,Scrum Master,2024-12-30,Organization\Sprints,Sprint,Sprint-004,sprint;planning;cloud
Sprint,Sprint 16,UX redesign and security sprint,User experience and security improvements,Planning,UX Team,High,0,112,Sprint Planning,2025-02-10,2025-02-23,UX transformation,Scrum Master,Scrum Master,2025-01-06,Organization\Sprints,Sprint,Sprint-005,sprint;planning;ux

